persona_id,num_predictions,embedding_similarity,device_precision,device_recall,param_precision,param_recall,param_f1,numerical_precision,numerical_recall,numerical_f1,categorical_precision,categorical_recall,categorical_f1
persona_000,30,0.8605801,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.925,0.9396825396825398,0.5,0.5,0.5,0.5333333333333333,0.5222222222222223,0.5266666666666667
persona_001,22,0.77664304,1.0,1.0,0.9772727272727273,0.9886363636363636,0.9821428571428572,0.4318181818181818,0.45454545454545453,0.4393939393939394,0.5757575757575757,0.5909090909090909,0.5818181818181819
persona_002,25,0.8330533,0.92,0.9,0.91,0.8366666666666666,0.8606666666666666,0.52,0.52,0.52,0.4666666666666666,0.44,0.4453333333333333
persona_003,33,0.80642015,0.9696969696969697,0.9393939393939394,0.9494949494949495,0.8914141414141413,0.9057720057720058,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4393939393939394,0.41414141414141414,0.41818181818181815
persona_004,32,0.8443934,0.953125,0.9479166666666666,0.9192708333333333,0.9296875,0.9119047619047619,0.390625,0.40625,0.3958333333333333,0.6770833333333334,0.6510416666666666,0.6552083333333334
persona_005,30,0.9144929,1.0,1.0,0.9888888888888888,0.9805555555555556,0.981904761904762,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6333333333333333,0.6055555555555555,0.6155555555555556
persona_006,27,0.8690044,1.0,1.0,1.0,0.9320987654320987,0.9555555555555555,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.6296296296296297,0.6111111111111112,0.6172839506172839
persona_007,23,0.8000641,0.9565217391304348,0.9347826086956522,0.9275362318840579,0.8913043478260869,0.9002070393374741,0.391304347826087,0.3695652173913043,0.3768115942028985,0.5652173913043478,0.5869565217391305,0.572463768115942
persona_008,40,0.8830679,0.975,0.975,0.975,0.95625,0.963095238095238,0.275,0.275,0.275,0.45,0.4416666666666666,0.445
persona_009,29,0.9188263,0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9482758620689655,0.9310344827586207,0.3275862068965517,0.3448275862068966,0.3333333333333333,0.5862068965517241,0.5862068965517241,0.5862068965517241
persona_010,29,0.7621245,0.9310344827586207,0.8908045977011494,0.8678160919540229,0.8373563218390805,0.8364532019704434,0.3620689655172414,0.3793103448275862,0.36781609195402304,0.4827586206896552,0.4281609195402299,0.44367816091954027
persona_011,38,0.7296674,0.868421052631579,0.868421052631579,0.837719298245614,0.8289473684210527,0.8283208020050125,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.30701754385964913,0.30701754385964913,0.30701754385964913
persona_012,28,0.8084316,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.6071428571428571,0.6071428571428571,0.6071428571428571
persona_013,19,0.7863256,0.9473684210526315,0.9473684210526315,0.9342105263157895,0.9166666666666665,0.9236842105263158,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.5263157894736842,0.5087719298245613,0.5157894736842106
persona_014,30,0.8411779,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9583333333333334,0.9396825396825398,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.4,0.3888888888888889,0.39333333333333337
persona_015,26,0.8198116,0.9871794871794872,1.0,0.9461538461538462,0.9294871794871794,0.9314102564102564,0.28846153846153844,0.3076923076923077,0.2948717948717949,0.6025641025641025,0.5961538461538461,0.5948717948717949
persona_016,24,0.80299836,1.0,0.9583333333333334,0.9791666666666666,0.923611111111111,0.9388888888888888,0.4583333333333333,0.4166666666666667,0.4305555555555555,0.7916666666666666,0.7708333333333334,0.7777777777777777
persona_017,26,0.86743,0.9807692307692307,0.9807692307692307,0.8974358974358974,0.9326923076923077,0.8983516483516483,0.1346153846153846,0.15384615384615385,0.14102564102564102,0.6153846153846154,0.5833333333333333,0.5948717948717948
persona_018,28,0.8055468,1.0,1.0,0.988095238095238,0.9821428571428571,0.980952380952381,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.7678571428571429,0.7857142857142857,0.7738095238095237
persona_019,28,0.79199266,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.6428571428571429,0.6428571428571429,0.6428571428571429
persona_020,29,0.8710301,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9195402298850573,0.9241379310344828,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.5172413793103449,0.5172413793103449,0.5172413793103449
persona_021,28,0.8143333,0.9285714285714286,0.9285714285714286,0.8601190476190476,0.8767857142857143,0.8597222222222223,0.35714285714285715,0.42857142857142855,0.38095238095238093,0.6785714285714286,0.6785714285714286,0.6785714285714286
persona_022,33,0.7787764,0.9545454545454546,0.9696969696969697,0.8888888888888888,0.8939393939393939,0.8653679653679653,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.5303030303030303,0.5909090909090909,0.5444444444444444
persona_023,44,0.84899366,0.8863636363636364,0.8863636363636364,0.8534090909090909,0.7909090909090909,0.8043290043290042,0.38636363636363635,0.36363636363636365,0.37121212121212116,0.5094696969696969,0.5,0.4997835497835498
persona_024,33,0.83371377,0.9696969696969697,0.9545454545454546,0.946969696969697,0.9393939393939394,0.934054834054834,0.12121212121212122,0.10606060606060606,0.1111111111111111,0.5151515151515151,0.5,0.505050505050505
persona_025,32,0.853112,0.9375,0.9375,0.8828125,0.8802083333333333,0.8642857142857143,0.3125,0.296875,0.30208333333333337,0.59375,0.578125,0.5833333333333333
persona_026,24,0.91727906,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9270833333333334,0.9384920634920636,0.625,0.625,0.625,0.75,0.7291666666666666,0.736111111111111
persona_027,26,0.8184539,0.9230769230769231,0.9038461538461539,0.891025641025641,0.8557692307692307,0.8586080586080586,0.3076923076923077,0.28846153846153844,0.2948717948717948,0.5384615384615384,0.5064102564102564,0.517948717948718
