persona_id,num_predictions,embedding_similarity,device_precision,device_recall,param_precision,param_recall,param_f1,numerical_precision,numerical_recall,numerical_f1,categorical_precision,categorical_recall,categorical_f1
persona_000,30,0.62253404,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.6805555555555555,0.6996825396825397,0.36666666666666664,0.35,0.3555555555555555,0.3,0.28888888888888886,0.29333333333333333
persona_001,22,0.6391737,0.8863636363636364,0.9090909090909091,0.8106060606060606,0.837121212121212,0.8056277056277055,0.3181818181818182,0.36363636363636365,0.3333333333333333,0.38636363636363635,0.4393939393939394,0.4
persona_002,25,0.6236557,0.8666666666666666,0.88,0.8373333333333332,0.7166666666666666,0.7467619047619047,0.33333333333333326,0.34,0.32666666666666666,0.42,0.3533333333333333,0.3733333333333333
persona_003,33,0.6944746,0.8585858585858586,0.8787878787878788,0.8131313131313131,0.7803030303030303,0.7774891774891776,0.22222222222222224,0.24242424242424243,0.22727272727272727,0.3585858585858586,0.35353535353535354,0.3424242424242424
persona_004,32,0.67052865,0.734375,0.765625,0.7083333333333333,0.6796875,0.6864583333333333,0.1875,0.1875,0.18229166666666666,0.46875,0.46875,0.46875
persona_005,30,0.64766574,0.8111111111111111,0.8833333333333333,0.7616666666666667,0.8138888888888889,0.7612169312169313,0.35,0.38333333333333336,0.3555555555555555,0.45,0.5166666666666667,0.46888888888888886
persona_006,27,0.6310626,0.8271604938271605,0.8703703703703703,0.7685185185185185,0.7530864197530863,0.741005291005291,0.24074074074074073,0.2962962962962963,0.25925925925925924,0.4074074074074074,0.41358024691358025,0.40617283950617283
persona_007,23,0.6066079,0.717391304347826,0.717391304347826,0.6797101449275363,0.6014492753623188,0.6212560386473429,0.2826086956521739,0.30434782608695654,0.2898550724637681,0.42028985507246375,0.3840579710144927,0.3898550724637681
persona_008,40,0.66872275,0.7625,0.7625,0.7458333333333333,0.7354166666666666,0.7383333333333334,0.2625,0.275,0.26666666666666666,0.225,0.2125,0.21666666666666665
persona_009,29,0.7545466,0.8735632183908045,0.896551724137931,0.8304597701149425,0.7902298850574712,0.8028735632183908,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.4540229885057471,0.4482758620689655,0.4413793103448275
persona_010,29,0.5890766,0.5977011494252873,0.6091954022988505,0.5796387520525452,0.5528735632183908,0.5517241379310345,0.1896551724137931,0.20689655172413793,0.1954022988505747,0.31896551724137934,0.278735632183908,0.28735632183908044
persona_011,38,0.5870023,0.6973684210526315,0.6973684210526315,0.6885964912280701,0.6644736842105263,0.6701754385964913,0.039473684210526314,0.05263157894736842,0.043859649122807015,0.13157894736842105,0.11842105263157894,0.12280701754385963
persona_012,28,0.6241502,0.8333333333333333,0.8392857142857143,0.7589285714285714,0.699404761904762,0.7032312925170068,0.16071428571428573,0.17857142857142858,0.16666666666666666,0.39285714285714285,0.38095238095238093,0.38571428571428573
persona_013,19,0.58698916,0.8421052631578947,0.8157894736842105,0.7894736842105263,0.75,0.7526315789473684,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.47368421052631576,0.3771929824561403,0.40350877192982454
persona_014,30,0.6556515,0.9,0.9,0.8833333333333333,0.8694444444444444,0.8707936507936509,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.28888888888888886,0.3044444444444444
